,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
44,"Greene, AR",5055,37331,37934,38229,38604,39046,39599,40469,40918,41286,41723,41318,41764,42224,42580,42970.0,43382.0,43745.0,44197.0,44623.0,44937.0,45197.0,45665.0,05055,50.99088,1175.7696072224708,0.09388160123916937,-0.22764379895327644,-0.006562752711346804,0.42269387352457466
45,"Jefferson, AR",5069,84278,83322,82760,82193,81455,80562,79977,78788,78354,77759,78447,77693,76836,75782,74655.0,73548.0,72385.0,71373.0,70424.0,69282.0,68123.0,68199.0,05069,330.82113,1697.385397544289,-0.1316047777480337,-0.1775868779444903,0.3533653004657232,-1.8260090749641087
46,"Miller, AR",5091,40443,40606,40923,41382,41765,42181,42669,42710,43047,43284,43048,43266,43449,43515,43537.0,43652.0,43666.0,43760.0,43759.0,43572.0,43515.0,42875.0,05091,53.96736,610.4734543667296,0.010848355324289165,-0.22711135678791286,-0.39663135788206666,-0.40536991352117735
47,"Mississippi, AR",5093,51979,51017,49957,48554,47777,47399,46983,46850,47037,46857,46815,46608,46388,45912,45385.0,44864.0,44199.0,43534.0,42831.0,42126.0,41396.0,41061.0,05093,91.68669,1108.7968515521306,-0.1157534978105308,-0.220364003625364,-0.05277564352405963,-1.6679293714676717
48,"Phillips, AR",5107,26445,25821,25067,24520,24174,23946,23244,22775,22411,21976,22412,22055,21646,21253,20847.0,20391.0,19929.0,19518.0,19034.0,18606.0,18151.0,16923.0,05107,32.18794,919.9059326390877,-0.19012136355523826,-0.23100732838697044,-0.18311514238250812,-2.409576116269162
49,"Pulaski, AR",5119,361474,362866,364327,365258,366608,368274,371647,373403,376567,380053,377060,379981,383185,386106,388752.0,390463.0,391806.0,392848.0,393463.0,392967.0,393078.0,397931.0,05119,846.42509,2538.7504054452115,0.04248130271044396,-0.08535400927665569,0.9339283795056683,-0.08990472943273771
50,"Saline, AR",5125,83529,85473,87031,88627,90961,93493,96661,100043,102599,105362,102439,105033,107498,109844,111811.0,113833.0,115577.0,116252.0,118009.0,119415.0,120990.0,122308.0,05125,308.15923000000004,1672.480208115434,0.18109313835550914,-0.18164071035970994,0.3361800915217926,1.2924264114126987
51,"Sebastian, AR",5131,115071,116488,117200,117725,118168,119426,121492,122946,123762,125116,123847,124961,125795,126536,126801.0,127273.0,127351.0,127362.0,127461.0,127591.0,127670.0,127941.0,05131,92.44063,1521.0401782836325,0.030868733194990592,-0.22022913645133488,0.231682650835021,-0.2057131406823227
52,"Washington, AR",5143,157715,163151,166859,171424,176837,183799,190314,194526,197223,199774,197192,200621,204057,207911,212238.0,216432.0,219930.0,223683.0,228529.0,232289.0,236198.0,242793.0,05143,27.42696,1146.767144123384,0.19780721327437217,-0.23185898756171802,-0.02657518384222523,1.4591104910459127
53,"Alameda, CA",6001,1443741,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1477980,1494876,1515136,1535248,1559308.0,1584983.0,1605217.0,1629615.0,1643700.0,1656754.0,1661584.0,1673133.0,06001,5.1135,640.6692456079386,0.12422630888104035,-0.2358504899266436,-0.3757955002312003,0.7253118580422778
