,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
992,"Guadalupe, TX",48187,89023,92626,95246,98137,101495,105585,111878,117667,123398,128265,122728,127499,131945,135940,139709.0,143460.0,147313.0,150889.0,155137.0,158966.0,163030.0,169477.0,48187,92.60954,685.4238884234697,0.3283847206831367,-0.2201989212957983,-0.3449136677443215,2.7613178670979086
993,"Hale, TX",48189,36602,35876,35598,35553,36259,36066,36162,36080,35662,35926,36041,36108,36153,36150,35925.0,35504.0,35007.0,34527.0,34113.0,33826.0,33463.0,32879.0,48189,9935.391709999998,832.7198953020836,-0.07152964679115452,1.540509113630299,-0.24327570742899657,-1.2268991654416148
994,"Hansford, TX",48195,5369,5299,5242,5216,5209,5258,5293,5365,5512,5556,5470,5524,5556,5566,5540.0,5559.0,5552.0,5532.0,5547.0,5520.0,5431.0,5332.0,48195,34597.83705,2846.3587563150454,-0.007129798903107861,5.952205412611149,1.1461859010835331,-0.5846602484900418
995,"Hardeman, TX",48197,4724,4609,4547,4534,4474,4417,4409,4296,4187,4086,4226,4181,4124,4087,4050.0,3992.0,3952.0,3990.0,3952.0,3945.0,3958.0,3567.0,48197,569.14006,331.6922124051228,-0.06341694273544723,-0.13495563327416452,-0.5889974471440883,-1.1459937838738865
996,"Harris, TX",48201,3400578,3471291,3536682,3586133,3630185,3681829,3807435,3863344,3938580,4034866,3950999,4025409,4101752,4182285,4269608.0,4356362.0,4434257.0,4525519.0,4602523.0,4646630.0,4680609.0,4697957.0,48201,4582.302549999999,3303.5575185066245,0.18466468860154103,0.5829315778381204,1.4616645799192611,1.328044330353085
997,"Hays, TX",48209,97589,104739,111397,115665,119395,125302,132111,140480,147674,153619,146439,152827,158464,164144,170410.0,177562.0,185686.0,194843.0,204150.0,213366.0,222827.0,234573.0,48209,1295.52268,836.679385606437,0.5216369956090932,-0.0050180106208054815,-0.24054355924011575,4.688560489823279
998,"Hidalgo, TX",48215,569463,590067,610520,632475,653779,674982,695352,715264,736694,757468,736973,757453,774820,790646,806447.0,819217.0,828334.0,839539.0,849389.0,855176.0,861137.0,865677.0,48215,696.72083,2734.7576612618905,0.16847835673762812,-0.11213358124036862,1.0691783303385434,1.166623262033641
999,"Hockley, TX",48219,22716,22662,22745,22955,22919,23094,22912,22844,22958,23086,22933,22929,22988,23115,23205.0,23322.0,23377.0,23273.0,23162.0,23064.0,22986.0,21670.0,48219,1083.69364,910.6159862660495,0.0023110801029084726,-0.042910659906031094,-0.18952543972052407,-0.4905094064191836
1000,"Hood, TX",48221,41100,42425,43344,44448,45411,46470,47952,48870,50112,50841,49816,50569,51161,51756,52347.0,53171.0,54217.0,55418.0,56901.0,58318.0,60025.0,60521.0,48221,3214.8322299999995,8885.250305086978,0.20493415770033724,0.3383141578483248,5.31317340189506,1.5301852096890827
1001,"Howard, TX",48227,33627,33279,33479,33396,33403,33277,33328,33817,34393,34882,34285,34645,34927,35297,35702.0,36105.0,36423.0,36491.0,36667.0,36349.0,36213.0,34620.0,48227,42.59424,553.3434036391515,0.05623450488551845,-0.2291458164986248,-0.43605253400021676,0.04725152107411067
1002,"Hutchinson, TX",48233,23857,23247,23116,22773,22478,22209,22176,22138,21851,22184,22094,22088,21992,21986,21947.0,21858.0,21782.0,21704.0,21571.0,21344.0,21105.0,20801.0,48233,7894.4107300000005,2964.017583961252,-0.044763284149542865,1.1754119745744078,1.2273734601251565,-0.9599668617572075
1003,"Jefferson, TX",48245,252051,250137,250146,250183,250638,250849,245962,247629,249430,251332,249349,250714,251627,252157,252466.0,252872.0,252993.0,254574.0,255210.0,254340.0,253136.0,256755.0,48245,14630.621309999999,1469.030228932325,0.015187548375971029,2.380406648672756,0.19579447382200402,-0.3620965404101018
1004,"Jim Hogg, TX",48247,5281,5194,5220,5148,5173,5194,5160,5131,5198,5260,5211,5231,5257,5271,5266.0,5239.0,5218.0,5262.0,5282.0,5231.0,5187.0,4864.0,48247,369.34303,126.50053960709766,-0.004605641911341394,-0.1706959585195591,-0.7305848773727134,-0.55948764473753
1005,"Jim Wells, TX",48249,39326,39701,39821,40008,40309,40449,40393,40654,40554,40633,40631,40821,41014,41217,41348.0,41461.0,41486.0,41318.0,41192.0,40972.0,40796.0,39203.0,48249,258.10996,1590.8750212429593,0.004060938692131624,-0.19059368222367892,0.2798704540738171,-0.4730586309590497
1006,"Johnson, TX",48251,126811,130795,133399,136264,138833,140692,142501,145123,148635,150583,147611,149681,151174,152384,153854.0,155450.0,157544.0,160173.0,163475.0,167212.0,171359.0,177022.0,48251,969.28094,9420.780685948877,0.16088231906836212,-0.06337716589064836,5.682702873542913,1.0908704277363686
1007,"Karnes, TX",48255,15446,15340,15178,15119,15109,14967,14985,14900,14867,14805,14880,14873,14936,14916,14884.0,14879.0,14984.0,15051.0,15387.0,15545.0,15547.0,14823.0,48255,0.3669,7.829553011820334,0.0448252688172043,-0.23669957676146686,-0.8124708516210924,-0.0665291112729878
1008,"Kerr, TX",48265,43653,44331,44894,45278,46054,46809,47840,48352,48852,49427,48826,49216,49469,49696,49914.0,50149.0,50505.0,50761.0,51365.0,51843.0,52195.0,52411.0,48265,22.26673,34.2942576435976,0.06900012288534797,-0.23278206584041436,-0.7942095378480855,0.174558913052435
1009,"Kimble, TX",48267,4468,4494,4521,4510,4562,4609,4578,4518,4520,4623,4568,4578,4577,4566,4522.0,4486.0,4453.0,4432.0,4408.0,4373.0,4375.0,4295.0,48267,2505.18813,188.48495281848426,-0.042250437828371276,0.21137077464350293,-0.6878140686885417,-0.9349070556753589
1010,"Kleberg, TX",48273,31549,31315,31413,31339,31362,31242,31149,31370,31555,31876,31611,31823,31925,32052,32142.0,32029.0,31877.0,31540.0,31425.0,30974.0,30725.0,31015.0,48273,271.75773,1915.1828307546193,-0.028028218025370914,-0.1881523259198623,0.5036510233614823,-0.793073443602161
1011,"Lamar, TX",48277,48499,48522,48826,49159,49233,49344,49386,49387,49467,49600,49536,49681,49740,49751,49704.0,49566.0,49626.0,49401.0,49532.0,49611.0,49705.0,49932.0,48277,500.82984000000005,6586.952466807679,0.0034116602067183464,-0.14717518168479132,3.727289918493282,-0.47953367593115404
1012,"La Salle, TX",48283,5866,5934,6098,6169,6322,6542,6549,6675,6653,6771,6709,6800,6850,6921,7075.0,7191.0,7319.0,7418.0,7409.0,7416.0,7551.0,6956.0,48283,83.94827,269.8001908721205,0.12550305559695932,-0.22174827669331434,-0.6317045032395774,0.738044441347113
1013,"Lubbock, TX",48303,242628,246616,249407,253388,255669,257779,261761,265215,268197,274252,269932,274359,278339,282633,286747.0,290782.0,294682.0,298042.0,301454.0,304808.0,308392.0,308580.0,48303,17159.87399,8398.81506112557,0.14248032837899915,2.8328473751990013,4.977520813142477,0.907353308400392
1014,"McCulloch, TX",48307,8205,8034,7927,8033,8164,8117,8183,8105,8203,8365,8220,8242,8281,8302,8245.0,8273.0,8242.0,8145.0,8098.0,8057.0,7970.0,7676.0,48307,20.6938,59.363999417610586,-0.030413625304136254,-0.23306343653840841,-0.7769107836351324,-0.8168623412074146
1015,"McLennan, TX",48309,213517,215099,216571,218744,221353,222794,224452,226741,229037,231679,229587,232396,234626,237316,239717.0,241505.0,243394.0,245720.0,248429.0,251089.0,254045.0,258031.0,48309,11.95033,7240.317253396146,0.1065304220186683,-0.2346274961321539,4.178128102487197,0.5488364844863588
1016,"Martin, TX",48317,4746,4697,4654,4553,4398,4447,4443,4494,4558,4710,4606,4704,4804,4956,5096.0,5252.0,5451.0,5547.0,5614.0,5649.0,5676.0,5213.0,48317,21.28425,161.24209406289188,0.2323056882327399,-0.2329578149731572,-0.7066123284360633,1.8031526576090964
1017,"Matagorda, TX",48321,37957,37804,37662,37695,37388,37132,36743,36452,36708,36579,36647,36662,36653,36639,36611.0,36598.0,36719.0,36744.0,36743.0,36774.0,36791.0,36323.0,48321,14309.79596,1682.7466981917523,0.003929380303981226,2.3230163943933633,0.3432642286485678,-0.47437062034244837
1018,"Maverick, TX",48323,47297,47594,48408,49123,49627,50140,50951,51367,52190,53434,52493,53389,54107,54880,55821.0,56548.0,56830.0,57471.0,57970.0,58174.0,58098.0,57769.0,48323,40.0368,79.39411389533178,0.1067761415807822,-0.22960329946218827,-0.7630894993821535,0.5512869664458844
1019,"Midland, TX",48329,116009,116180,117717,119164,120746,122516,125844,128954,132502,136238,132103,135002,138472,142289,146387.0,151290.0,155817.0,159883.0,164194.0,168167.0,171238.0,166964.0,48329,56.042519999999996,876.3816608563349,0.2962461109891524,-0.22674014559755518,-0.21314798782043248,2.440809875866691
1020,"Mitchell, TX",48335,9698,9576,9420,9366,9280,9322,9279,9339,9285,9399,9342,9372,9367,9388,9236.0,9169.0,8995.0,8774.0,8558.0,8523.0,8256.0,8903.0,48335,1403.4935500000001,339.3519750242935,-0.11624919717405266,0.014296160419816191,-0.5837120177179284,-1.6728728213794681
1021,"Montgomery, TX",48339,293768,311437,326466,341499,357607,372541,392497,411416,429818,445836,427717,443622,458339,472162,487028.0,502586.0,518849.0,535187.0,554445.0,571949.0,590188.0,607999.0,48339,26097.09449,2291.2732894467913,0.3798563068571041,4.431565671761307,0.7631629268106265,3.2746273987541805
1022,"Moore, TX",48341,20121,20281,20155,20223,20389,20312,20558,20469,20917,21575,21102,21379,21765,22029,22172.0,22281.0,22186.0,22016.0,21801.0,21399.0,21169.0,21494.0,48341,10003.11434,3175.712604304194,0.0031750544972040566,1.5526235520815292,1.3734483642079216,-0.4818932683775085
1023,"Nacogdoches, TX",48347,59203,59541,59422,59816,60427,60939,61750,62274,62957,64012,63141,63872,64647,65085,65322.0,65531.0,65556.0,65411.0,65558.0,65339.0,65080.0,64822.0,48347,32.68745,374.9372865725918,0.030709048003674317,-0.2309179744568178,-0.5591572551035214,-0.20730562960407375
1024,"Navarro, TX",48349,45124,45577,45937,46078,46545,46854,47338,47272,47408,47584,47483,47621,47739,47883,48073.0,48118.0,48177.0,48239.0,48583.0,48995.0,49475.0,51908.0,48349,23046.70108,5533.109269079905,0.04195185645388876,3.885901641621278,3.000111528671079,-0.09518472622691007
1025,"Nolan, TX",48353,15802,15503,15194,15148,15013,14745,14740,14750,15093,15128,14990,15098,15104,15087,15082.0,15061.0,15017.0,14990.0,14966.0,14904.0,14901.0,14727.0,48353,212.67329999999998,131.75201337778998,-0.005937291527685124,-0.19872153580821125,-0.7269612280015362,-0.5727677569646012
1026,"Nueces, TX",48355,313645,313670,316256,317632,321879,325515,329113,330512,333526,338220,334370,337182,340568,344257,348130.0,352060.0,355667.0,358484.0,360486.0,361540.0,362151.0,353594.0,48355,4031.8514199999995,2891.986121762745,0.08308460687262613,0.4844651370812435,1.1776699342011983,0.31501893024900146
1027,"Ochiltree, TX",48357,9006,9134,9106,8981,9149,9384,9557,9812,9962,10225,9953,10147,10314,10467,10546.0,10642.0,10577.0,10484.0,10348.0,10131.0,9907.0,10063.0,48357,22646.08622,2604.118454781884,-0.004621722093841053,3.8142383871948327,0.9790339824691356,-0.5596480072124681
1028,"Orange, TX",48361,84966,84108,83813,83553,83580,83500,81687,82255,82612,81586,82014,82184,82306,82372,82737.0,83217.0,83751.0,83909.0,84047.0,84069.0,83776.0,85045.0,48361,32918.624169999996,1791.1758400678816,0.021484136854683346,5.651822496571527,0.418083071688303,-0.29930269387667624
1029,"Palo Pinto, TX",48363,27026,27128,27144,27294,27276,27511,27859,27679,27916,28071,27927,27977,28010,28017,28028.0,27921.0,27922.0,28109.0,28317.0,28540.0,28792.0,28303.0,48363,1961.03929,10771.623420019496,0.03097360976832456,0.11403170747366476,6.6148184353100445,-0.20466724043441073
1030,"Pecos, TX",48371,16809,16284,16084,15709,15554,15385,15403,15321,15251,15490,15400,15465,15510,15590,15677.0,15807.0,15826.0,15804.0,15797.0,15815.0,15725.0,15202.0,48371,52.20059,493.48752214863623,0.021103896103896104,-0.22742740219876711,-0.4773546021043798,-0.3030947122738467
1031,"Potter, TX",48375,113546,114307,115427,117067,117682,118771,119780,119537,119740,120118,120124,120626,121099,121526,122053.0,122352.0,121883.0,121230.0,120899.0,119674.0,118323.0,119043.0,48375,5600.38607,3501.6818507199278,-0.014992840731244381,0.7650495809524618,1.5983753668694516,-0.6630758291669746
1032,"Presidio, TX",48377,7304,7409,7534,7583,7561,7719,7638,7712,7683,7593,7703,7727,7678,7579,7479.0,7304.0,7144.0,7191.0,7123.0,6975.0,6808.0,6328.0,48377,3.84926,86.54550285135232,-0.11618849798779696,-0.23607664118018443,-0.7581548606073872,-1.67226748796768
1033,"Randall, TX",48381,104312,105399,106286,107607,109441,111113,112464,114782,116518,119084,116811,118994,121090,123062,124862.0,126782.0,128603.0,130552.0,132475.0,134026.0,136005.0,139176.0,48381,2150.24561,2746.8934270592245,0.1643167167475666,0.14787753298610706,1.077552314865646,1.1251205683532797
1034,"Reagan, TX",48383,3326,3230,3189,3130,3161,3143,3160,3260,3339,3377,3298,3343,3384,3441,3520.0,3598.0,3625.0,3735.0,3752.0,3766.0,3766.0,3363.0,48383,3.75259,45.099856251734195,0.14190418435415403,-0.23609393381582305,-0.7867534022352429,0.9016076098209806
1035,"Reeves, TX",48389,13137,13022,13017,12910,12721,12675,12747,13039,13211,13550,13269,13473,13606,13775,13978.0,14179.0,14438.0,14791.0,15125.0,15492.0,15546.0,14584.0,48389,265.48983000000004,876.4885921560667,0.17160298439972868,-0.18927354771482896,-0.21307420252625564,1.1977841661567836
1036,"Rockwall, TX",48397,43080,46697,50078,53397,56477,60349,66117,70851,73929,76654,73311,76349,78749,81020,83239.0,85536.0,88010.0,90414.0,93642.0,97175.0,101175.0,105227.0,48397,1263.6679,6207.953383889296,0.3800793878135614,-0.010716294513316267,3.4657709909574668,3.2768521131994186
1037,"Runnels, TX",48399,11495,11148,11002,10815,10774,10842,10587,10506,10444,10392,10492,10479,10473,10439,10441.0,10445.0,10411.0,10266.0,10310.0,10277.0,10280.0,9887.0,48399,603.7411999999999,90.57121696240618,-0.020205871139916128,-0.12876607181040586,-0.7553770163213752,-0.7150637004663163
1038,"San Patricio, TX",48409,67138,66690,66820,66440,66990,67232,67022,66723,66417,65751,66100,65648,65352,65210,65509.0,66070.0,66706.0,66867.0,67046.0,67008.0,66969.0,68600.0,48409,8237.04141,1942.6894917008347,0.013146747352496218,1.2367028353156846,0.5226313132749928,-0.38244879095126183
1039,"Scurry, TX",48415,16361,15838,15982,15931,16118,16085,16232,16431,16478,16806,16579,16717,16855,17014,17108.0,17238.0,17314.0,17346.0,17239.0,17096.0,16918.0,16985.0,48415,59.31145,299.15151382203453,0.020447554134748778,-0.22615538905035112,-0.6114513500115738,-0.3096401990915769
1040,"Smith, TX",48423,174706,177836,181107,184254,187300,191362,196124,199953,203263,207111,203393,206839,209691,212227,214735.0,217552.0,219745.0,222277.0,225015.0,227449.0,230184.0,231429.0,48423,20.47947,633.726672077719,0.1317203640243273,-0.233101776567336,-0.38058605109475624,0.8000476534927095
1041,"Starr, TX",48427,53597,54294,55412,56704,57857,58284,59050,59529,59763,60384,59989,60525,60882,61351,62040.0,62648.0,63008.0,63420.0,63894.0,64078.0,64032.0,65568.0,48427,877.77315,1069.4147390481796,0.06739568920968844,-0.07974636906192305,-0.07995029457287497,0.15855841336231902
1042,"Stephens, TX",48429,9674,9455,9374,9407,9327,9409,9450,9513,9556,9675,9562,9579,9561,9493,9485.0,9452.0,9787.0,9365.0,9372.0,9364.0,9358.0,9142.0,48429,12446.39593,9830.569151840253,-0.021334448860071114,1.9896854978606273,5.965467251997986,-0.7263186421541917
1043,"Sutton, TX",48435,4077,4032,4072,4029,4124,4203,4299,4314,4321,4272,4257,4198,4123,4058,3995.0,3966.0,3936.0,3894.0,3865.0,3824.0,3793.0,3417.0,48435,2222.15299,30.513564366230252,-0.10899694620624853,0.16074055276545107,-0.7968183115781577,-1.6005484610002252
1044,"Swisher, TX",48437,8378,8248,8071,8062,8004,7910,7901,7855,7802,7680,7828,7808,7816,7807,7789.0,7713.0,7639.0,7541.0,7484.0,7432.0,7403.0,7055.0,48437,2427.33046,452.5435187060367,-0.05429228410832908,0.19744334815148454,-0.5056069972998511,-1.054996505675021
1045,"Tarrant, TX",48439,1446219,1490204,1524249,1553086,1580595,1612048,1662005,1707157,1745602,1784078,1743300,1780700,1814667,1848423,1881469.0,1914526.0,1947529.0,1983675.0,2019977.0,2049770.0,2077153.0,2091953.0,48439,525.70061,9329.694698657047,0.19150633855331842,-0.14272621961111384,5.619851244650634,1.3962738991997352
1046,"Taylor, TX",48441,126555,125920,125920,125542,126702,127248,127838,128503,128903,130247,129477,130463,131425,132588,133560.0,134435.0,135234.0,135371.0,136348.0,136870.0,137521.0,141739.0,48441,3395.66072,255.02249452156906,0.06212686423071279,0.3706613306077677,-0.6419014864915881,0.10601412080455981
1047,"Terry, TX",48445,12761,12473,12559,12534,12532,12417,12448,12424,12394,12550,12498,12543,12561,12644,12681.0,12687.0,12724.0,12755.0,12615.0,12528.0,12408.0,11937.0,48445,3560.02909,448.0159926969254,-0.007201152184349496,0.4000640649920344,-0.5087311044538209,-0.5853718317556612
1048,"Tom Green, TX",48451,104010,103923,104035,104330,104744,104974,106125,106680,107639,108879,108000,109135,110434,111969,113516.0,115056.0,116264.0,116906.0,117466.0,117986.0,118645.0,119048.0,48451,139.03374,733.4454319108664,0.09856481481481481,-0.21189441342970414,-0.3117775913856804,0.46939805239009186
1049,"Travis, TX",48453,812280,844877,848090,856315,870809,891266,925151,955399,980699,1006503,979712,1007264,1034842,1063248,1092810.0,1121645.0,1148176.0,1176584.0,1203166.0,1226805.0,1250884.0,1267795.0,48453,171.58410999999998,815.8283205327483,0.27678746407107396,-0.20607170019588913,-0.2549313201129431,2.24675506468554
1050,"Uvalde, TX",48463,25926,25939,26309,26258,26205,26368,26301,26217,26206,26223,26285,26330,26434,26578,26763.0,26952.0,27055.0,27015.0,27009.0,26920.0,26899.0,24918.0,48463,8.4367,267.7936214120888,0.023359330416587408,-0.23525602539003113,-0.633089086783086,-0.28060199314885104
1051,"Val Verde, TX",48465,44856,45144,45495,46184,46941,47108,47401,47676,47882,48463,48088,48434,48578,48730,48999.0,48980.0,48862.0,48976.0,49027.0,48969.0,49018.0,47767.0,48465,226.63047,743.8855329438386,0.01933954416902346,-0.19622483305289368,-0.3045736583194455,-0.32069002519669515
1052,"Victoria, TX",48469,84088,84491,84573,84674,84718,84453,84528,85261,85762,86635,85813,86410,87188,88068,88955.0,90099.0,90989.0,91518.0,91970.0,92109.0,92044.0,91280.0,48469,2074.9124699999998,531.3050962834723,0.0726113758987566,0.13440170241266536,-0.45125952199602426,0.21057277488952406
1053,"Walker, TX",48471,61758,62444,62216,63609,64551,65676,65591,65517,65726,66748,66353,66833,67447,68110,68882.0,69330.0,69926.0,70818.0,71539.0,72321.0,72295.0,76506.0,48471,17469.96848,2225.2420599641937,0.08955133905023134,2.888318059269754,0.7175997128176286,0.3795095650278444
1054,"Ward, TX",48475,10909,10459,10337,10237,10189,10232,10301,10275,10588,10734,10505,10586,10705,10836,11011.0,11225.0,11396.0,11498.0,11586.0,11658.0,11745.0,11375.0,48475,6.6827000000000005,169.76435589680008,0.11803902903379343,-0.23556978646285798,-0.7007317527950319,0.6636081112433707
1055,"Webb, TX",48479,193117,200347,206001,211786,217858,223703,229307,234594,240287,245908,240346,245762,250320,254829,259471.0,263251.0,266006.0,269624.0,272053.0,273526.0,274847.0,266963.0,48479,128.08861,983.9518794217669,0.1435472194253285,-0.213852312934282,-0.13892182353157817,0.9179930687813644
1056,"Wharton, TX",48481,41188,40991,40915,41026,40992,40987,41073,40845,40893,40998,41036,41083,41153,41185,41219.0,41264.0,41377.0,41430.0,41551.0,41577.0,41672.0,41602.0,48481,5019.97562,1841.948000706934,0.015498586606881762,0.6612239221885363,0.4531171432664141,-0.35899465642897954
1057,"Wichita, TX",48485,131664,130790,130761,130411,131677,130767,131376,130564,130340,130913,130976,130835,131019,131358,131802.0,131957.0,132148.0,131778.0,131818.0,131596.0,132154.0,129419.0,48485,7.2743199999999995,274.857737422195,0.00899401417053506,-0.23546395560430278,-0.6282146685424767,-0.42386265990648075
1058,"Wilbarger, TX",48487,14676,14299,14248,14023,13879,13830,13835,13746,13506,13575,13637,13548,13451,13371,13265.0,13158.0,13061.0,12972.0,12906.0,12833.0,12717.0,12887.0,48487,5.62053,78.51801408880418,-0.06746351836914277,-0.23575979079508405,-0.7636940303484377,-1.1863489778312566
1059,"Willacy, TX",48489,20082,20016,20198,20418,20767,21229,21463,21576,21763,21862,21769,21894,21983,22039,22056.0,22002.0,21944.0,21839.0,21754.0,21588.0,21419.0,20423.0,48489,5508.75612,1874.6857662489729,-0.016077908953098442,0.7486585254136523,0.4757070273066261,-0.6738968646581386
1060,"Williamson, TX",48491,249967,276940,290112,302895,316532,332169,351970,373723,395437,410800,391715,409913,426296,441445,457218.0,473592.0,490619.0,508313.0,527057.0,547604.0,570437.0,591759.0,48491,33.33415,532.1503607890016,0.45625518553029626,-0.2308022907134899,-0.45067626816525513,4.036528780581712
1061,"Winkler, TX",48495,7173,7056,6960,6738,6735,6578,6642,6775,7024,7128,6933,7039,7137,7260,7404.0,7576.0,7723.0,7777.0,7802.0,7867.0,7822.0,7629.0,48495,8.46654,242.56168763505724,0.12822731862108755,-0.23525068751636344,-0.6504997575694451,0.765212638035231
1062,"Yoakum, TX",48501,7322,7299,7212,7235,7362,7404,7404,7588,7765,7908,7706,7825,7918,7998,8054.0,8213.0,8316.0,8481.0,8571.0,8631.0,8612.0,7707.0,48501,317.28576000000004,137.12974788847865,0.11757072411108227,-0.18000812778047015,-0.7232504555348109,0.6589378572563123
1063,"Young, TX",48503,17943,17659,17665,17892,17921,17801,18227,18135,18104,18466,18298,18351,18368,18395,18374.0,18329.0,18275.0,18166.0,18114.0,18036.0,17961.0,17894.0,48503,154.01699,9750.806803684758,-0.018417313367581158,-0.20921416223561454,5.910429219750675,-0.6972269905317431
1064,"Zapata, TX",48505,12182,12266,12514,12584,12727,13043,13069,13388,13640,13876,13609,13853,14014,14164,14231.0,14308.0,14335.0,14415.0,14369.0,14304.0,14243.0,13945.0,48505,123.00854000000001,361.4971549979724,0.046586817547211404,-0.2147610519384072,-0.5684312849198194,-0.048961753808356726
1065,"Zavala, TX",48507,11600,11596,11616,11513,11512,11565,11642,11657,11725,11544,11658,11700,11753,11849,12013.0,12060.0,12107.0,12152.0,12131.0,12039.0,11930.0,9900.0,48507,1.03355,61.9738504215507,0.023331617773202952,-0.23658032429898107,-0.7751099206084383,-0.2808783624052511
1066,"Box Elder, UT",49003,42745,43362,44038,44548,44666,45090,45948,47193,48437,49372,48221,49093,49660,50160,50613.0,50991.0,51528.0,52182.0,53001.0,53946.0,54953.0,56891.0,49003,792.44803,1308.599430556435,0.13960722506791648,-0.09500959665045287,0.085093176046008,0.8787007755247327
1067,"Cache, UT",49005,91391,92831,95493,97101,98854,100501,101236,103624,106824,110291,107078,109752,112095,114181,115954.0,117449.0,118824.0,120288.0,122336.0,124165.0,126336.0,131703.0,49005,50.65902,1245.4949407354827,0.17985020265600776,-0.22770316312068142,0.04154948624709598,1.2800310144720737
1068,"Carbon, UT",49007,20422,19937,20114,20146,20026,19870,20072,20554,20596,21143,20765,21011,21153,21227,21118.0,20927.0,20733.0,20512.0,20356.0,20308.0,20401.0,20208.0,49007,858.45545,1924.0511504009678,-0.017529496749337826,-0.08320198039404823,0.50977038762247,-0.6883730816786752
1069,"Davis, UT",49011,238994,244687,249676,255582,262189,269208,278800,288236,295801,301965,294532,301124,306664,311886,317646.0,323374.0,329292.0,334977.0,340621.0,345767.0,350761.0,358831.0,49011,120.30471,624.0253482488579,0.19090964649002484,-0.2152447216086133,-0.3872802092543625,1.3903232816586897
1070,"Grand, UT",49019,8485,8436,8556,8556,8528,8657,8787,8838,8981,9034,8987,9096,9183,9269,9348.0,9388.0,9428.0,9544.0,9616.0,9640.0,9698.0,9630.0,49019,618.9212,1439.4258047833002,0.07911427617669968,-0.12605062535344358,0.17536667438208936,0.27542410247046134
1071,"Iron, UT",49021,33779,34771,35728,36202,37223,39555,42000,43645,44547,45693,44439,45383,45984,46435,46725.0,47139.0,47751.0,48504.0,49691.0,51213.0,53148.0,55839.0,49021,126.8226,1219.348686235699,0.19597650712212247,-0.21407878081102633,0.023507911098128102,1.4408534489093945
1072,"Juab, UT",49023,8238,8388,8482,8622,8803,8926,9175,9607,10024,10209,9855,10089,10233,10300,10349.0,10400.0,10507.0,10694.0,10948.0,11301.0,11623.0,11648.0,49023,221.40465999999998,976.2094349959249,0.17940131912734653,-0.19715964248960371,-0.14426430549000518,1.2755544437853545
1073,"Salt Lake, UT",49035,898387,910750,918152,924802,934140,947963,966798,983719,999553,1016795,1000155,1016455,1032226,1048314,1063670.0,1078958.0,1092518.0,1106700.0,1120805.0,1133646.0,1146215.0,1173331.0,49035,278.19296,1995.6010633599926,0.14603736420854768,-0.187001171604761,0.5591416324240164,0.9428264797454319
1074,"Tooele, UT",49045,40735,43331,44998,46652,47894,49258,51483,53821,55909,57218,55398,56957,58158,59120,59973.0,60893.0,61986.0,63357.0,65185.0,67397.0,69740.0,71340.0,49045,165.94473,791.0466665550061,0.25889021264305573,-0.2070804903434823,-0.27203128647940117,2.0682715472473894
1075,"Utah, UT",49049,368536,385671,397190,406158,416220,430697,448296,469574,487615,504801,486067,502465,516571,529262,540425.0,551957.0,564177.0,576496.0,590440.0,605490.0,621506.0,648265.0,49049,24.10963,2958.6395288172666,0.2786426562593223,-0.2324524020541472,1.2236624664133684,2.2652562981634343
1076,"Wasatch, UT",49051,15215,16205,16975,17765,18349,19410,20755,21413,22120,22886,22176,22908,23661,24542,25550.0,26661.0,27895.0,29306.0,30523.0,31708.0,33053.0,34028.0,49051,346.39699,2092.2812411077875,0.4904852092352092,-0.17480061879751135,0.6258533938454025,4.377893769357569
1077,"Washington, UT",49053,90354,94512,99274,104188,110207,119000,126796,132277,135552,137088,134033,137020,139484,141902,144844.0,148244.0,151959.0,155577.0,160537.0,165811.0,172127.0,176533.0,49053,313.81875,1171.1407812440852,0.2842135891907217,-0.1806283175051574,-0.009756759399426275,2.320813415914576
1078,"Weber, UT",49057,196533,200073,203045,205319,207794,210150,212656,217567,223676,228118,222849,227199,230940,233871,236307.0,238682.0,241328.0,244101.0,247731.0,251498.0,255284.0,259390.0,49057,163.93963,1702.8017394324518,0.14554698472957026,-0.2074391689792435,0.3571027129967838,0.9379360833267752
1079,"Chittenden, VT",50007,146571,148441,149639,150410,151445,152163,152861,153625,154659,155793,154729,155666,156696,157637,158686.0,159711.0,160510.0,160985.0,162052.0,162646.0,163414.0,167523.0,50007,230.27423,2230.956755270607,0.05613039572413704,-0.19557302572864987,0.7215429967333025,0.046213273978145994
1080,"Albemarle, VA",51003,79236,85002,86150,87620,89491,91676,93852,95009,97081,98071,96633,97978,99484,100636,101883.0,103108.0,104287.0,105105.0,106355.0,107405.0,108819.0,111438.0,51003,8.76346,552.0287873646995,0.126105988637422,-0.23519757352677179,-0.43695965239102785,0.7440572981410333
1081,"Arlington, VA",51013,189453,190386,190137,188735,187901,187760,188176,190759,196305,202637,197467,202999,209077,214861,220173.0,223945.0,226092.0,229534.0,231803.0,233464.0,236434.0,235764.0,51013,8.559170000000002,918.4768918389937,0.19733423812586406,-0.23523411756871462,-0.18410121658239215,1.4543936624029177
