GEOID,MEDRENT,MVALOO,PCTKID,PCTOLD,AVGPERHH,PCTFRMPOP,FEMLBR,PCTFHH,PCTPOV,PCTRENT,PCTMOBL,HOUDEN,PCTNOHS,PCTCVLBF,PCTVOTE,LGINREV,GENEXPPC,EXPED,INFMTR,CHILLD,DISNWR,LBWB,HUWNF,HUWNP,MD
39147,433,81300,0.06244,0.1406,2.56,0.04984,0.46685,0.1451,0.08759,0.23388,0.0658,43.0302,87.7,0.99957,0.46775,2591,2578,77985,58,77.19442,434.87893,6.98669,5.28262,11.58768,0.34081
13267,338,67300,0.0607,0.11235,2.6,0.0325,0.42844,0.19348,0.19588,0.24225,0.34962,17.7345,72,0.99225,0.30101,1854,1726,22593,87.6,73.07779,574.75902,13.00157,28.69312,16.58821,0.44833
48429,400,45800,0.05592,0.17666,2.47,0.02326,0.45301,0.13966,0.14482,0.20683,0.15226,5.46924,79.1,1,0.36448,2813,2578,10844,35,89.93178,600.57887,9.30329,13.43808,0,1.0337
37117,400,68400,0.06236,0.15215,2.53,0.02376,0.49547,0.24507,0.20177,0.25819,0.23376,23.70059,76.9,0.9981,0.49002,3971,3513,40809,85.2,119.17321,819.7554,17.97367,7.42391,17.58293,0.78146
30081,502,133400,0.05747,0.15495,2.48,0.04453,0.46923,0.1046,0.1366,0.21811,0.15885,6.66023,90.6,0.99946,0.61273,1631,1587,36264,65.6,59.05184,566.39867,8.5944,4.71306,21.62462,0.27724
13317,359,65100,0.0583,0.17142,2.45,0.02779,0.48296,0.25084,0.17236,0.21067,0.24691,10.65405,71.9,1,0.47272,3365,3336,14304,138,96.37878,705.53008,11.2286,18.71433,31.81435,1.87143
53043,438,83500,0.05735,0.18971,2.42,0.10723,0.45014,0.09094,0.12372,0.18177,0.18026,2.29231,90.2,0.99394,0.5869,6052,5824,23138,64.4,91.31972,633.34643,8.83739,1.96387,12.76512,1.96387
6081,1144,469200,0.06416,0.12456,2.74,0.00032,0.45962,0.14955,0.05754,0.37598,0.01139,580.25698,88.4,0.99979,0.42889,4233,4212,1079892,41.8,56.15412,379.24886,1.69693,22.14489,7.11295,0.36767
39171,476,85700,0.06418,0.13877,2.52,0.03644,0.46957,0.12695,0.05833,0.21741,0.09126,38.27002,88.1,0.99962,0.46943,2614,2515,49071,68.4,73.74707,300.60223,9.69685,5.1036,4.84842,0.25518
8009,295,47300,0.05911,0.22449,2.33,0.14324,0.42954,0.11269,0.16582,0.19289,0.14425,0.92498,84.6,1,0.48151,5904,5409,8755,41.6,126.18995,520.25681,22.13859,11.06929,24.35245,4.42772
